Job Title,Location,Salary,Monthly Salary,Locality,City,State,JobText
Data Entry Operator,"Hassan, Karnataka",Not specified,,,Hassan,Karnataka,Data Entry Operator
Mobile App Developer - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka,Mobile App Developer - Freshers
Mega Walk-in drive Customer Service Representative- Fresher's,"Noida, Uttar Pradesh","₹13,000 - ₹17,000 a month",15000.0,,Noida,Uttar Pradesh,Mega Walk-in drive Customer Service Representative- Fresher's
Python Developer Trainee,Kerala,Not specified,,Kerala,Kerala,Kerala,Python Developer Trainee
Junior Data Scientist,"Bengaluru, Karnataka","₹2,50,000 - ₹5,00,000 a year",375000.0,,Bengaluru,Karnataka,Junior Data Scientist
Digital Marketing - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka,Digital Marketing - Freshers
Receptionist,"Thrissur, Kerala",Not specified,,,Thrissur,Kerala,Receptionist
Web Developer - Fresher,"Madurai, Tamil Nadu",Not specified,,,Madurai,Tamil Nadu,Web Developer - Fresher
Document verification (office Fresher Applied Now),"Delhi Cantt, Delhi, Delhi","₹10,914.81 - ₹21,867.53 a month",16391.17,Delhi Cantt,Delhi,Delhi,Document verification (office Fresher Applied Now)
Graduate Trainee,Remote,Not specified,,Remote,Remote,Remote,Graduate Trainee
Internship JOB Opening for freshers,Remote,"₹8,000 - ₹15,000 a month",11500.0,Remote,Remote,Remote,Internship JOB Opening for freshers
Consultant Doctor,"Tirupati, Andhra Pradesh","₹20,000 - ₹25,000 a month",22500.0,,Tirupati,Andhra Pradesh,Consultant Doctor
Software Trainees,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka,Software Trainees
Back Office Assistant,"Pimpri-Chinchwad, Maharashtra","₹28,000 - ₹34,000 a month",31000.0,,Pimpri-Chinchwad,Maharashtra,Back Office Assistant
Digital Marketing Intern,Remote,"₹10,000 - ₹15,000 a month",12500.0,Remote,Remote,Remote,Digital Marketing Intern
Fresher - Malayalam,"Coimbatore, Tamil Nadu","₹8,086.00 - ₹26,786.74 a month",17436.370000000003,,Coimbatore,Tamil Nadu,Fresher - Malayalam
Call Quality Analyst,"Bengaluru, Karnataka","₹4,00,000 - ₹5,00,000 a year",450000.0,,Bengaluru,Karnataka,Call Quality Analyst
Marketing Intern,"Anantapur, Andhra Pradesh",Not specified,,,Anantapur,Andhra Pradesh,Marketing Intern
Junior Engineers(Freshers),"Kochi, Kerala",Not specified,,,Kochi,Kerala,Junior Engineers(Freshers)
Social Media Manager,Remote,"From ₹32,000 a month",,Remote,Remote,Remote,Social Media Manager
HR Assistant,"Madurai, Tamil Nadu","₹12,000 - ₹15,000 a month",13500.0,,Madurai,Tamil Nadu,HR Assistant
Digital Marketing Intern,Remote,"₹2,000 - ₹5,000 a day",3500.0,Remote,Remote,Remote,Digital Marketing Intern
Fresh Graduates (Male),"Singanallur, Tamil Nadu",Not specified,,,Singanallur,Tamil Nadu,Fresh Graduates (Male)
Manager,"Idukki, Kerala",Not specified,,,Idukki,Kerala,Manager
Freshers - Trainee,"Hyderabad, Telangana",Not specified,,,Hyderabad,Telangana,Freshers - Trainee
Hiring Freshers for Bangalore Location ( Budget upto 45k inhand),"Bengaluru, Karnataka","₹30,000 - ₹50,000 a month",40000.0,,Bengaluru,Karnataka,Hiring Freshers for Bangalore Location ( Budget upto 45k inhand)
Phone Banking Officer,"Jaipur, Rajasthan","₹2,00,000 - ₹3,50,000 a year",275000.0,,Jaipur,Rajasthan,Phone Banking Officer
"Trainee Engineer, Fresher","Indore, Madhya Pradesh",Not specified,,,Indore,Madhya Pradesh,"Trainee Engineer, Fresher"
Content Creator,Remote,"₹30,000 - ₹60,000 a month",45000.0,Remote,Remote,Remote,Content Creator
Social Media Manager,Remote,"₹11,347.87 - ₹43,137.86 a month",27242.865,Remote,Remote,Remote,Social Media Manager
Amazon Advertising Executive,"Thrissur, Kerala","₹14,000 - ₹17,500 a month",15750.0,,Thrissur,Kerala,Amazon Advertising Executive
Software Engineer,"Pune, Maharashtra",Not specified,,,Pune,Maharashtra,Software Engineer
Administration/Office Manager,"Thrissur, Kerala","₹15,000 - ₹25,000 a month",20000.0,,Thrissur,Kerala,Administration/Office Manager
Draftsman,India,₹8 - ₹10 an hour,,India,India,India,Draftsman
Documents verification,"Vadapalani, Chennai, Tamil Nadu","₹15,000 - ₹30,000 a month",22500.0,Vadapalani,Chennai,Tamil Nadu,Documents verification
Software Developer Fresher,India,Not specified,,India,India,India,Software Developer Fresher
E-Commerce works agency with Amazon PPC Ad management,Remote,"₹12,000.00 - ₹33,807.10 a month",22903.55,Remote,Remote,Remote,E-Commerce works agency with Amazon PPC Ad management
Delivery Partner/Delivery Executive,"Manipala, Karnataka","₹20,000 - ₹45,000 a month",32500.0,,Manipala,Karnataka,Delivery Partner/Delivery Executive
Store & Purchase Executive,"Durgapur, West Bengal","₹20,000 - ₹40,000 a month",30000.0,,Durgapur,West Bengal,Store & Purchase Executive
Account Executive,"Muvattupuzha, Kerala","₹12,000 - ₹60,000 a month",36000.0,,Muvattupuzha,Kerala,Account Executive
Software Trainee,"Pollachi H.O, Tamil Nadu",Not specified,,,Pollachi H.O,Tamil Nadu,Software Trainee
Need female graduates to train school student in Bandel,"Hugli, West Bengal","₹15,000 - ₹18,000 a month",16500.0,,Hugli,West Bengal,Need female graduates to train school student in Bandel
Billing Executive,"Idukki, Kerala","₹15,000 - ₹21,000 a month",18000.0,,Idukki,Kerala,Billing Executive
Hotel Management Trainee,"Kottayam, Kerala","₹20,000 - ₹30,000 a month",25000.0,,Kottayam,Kerala,Hotel Management Trainee
FACULTY WANTED - COMMERCE,"Pollachi, Tamil Nadu","₹18,000 - ₹45,000 a month",31500.0,,Pollachi,Tamil Nadu,FACULTY WANTED - COMMERCE
Project Manager,Remote,"From ₹25,000 a month",,Remote,Remote,Remote,Project Manager
Editor,"Bengaluru, Karnataka","Up to ₹4,00,000 a year",,,Bengaluru,Karnataka,Editor
Front Office,"Kochi, Kerala","₹20,000 - ₹25,000 a month",22500.0,,Kochi,Kerala,Front Office
RTO Executive,"Erode, Tamil Nadu","₹16,000 - ₹20,000 a month",18000.0,,Erode,Tamil Nadu,RTO Executive
HR Co-ordinator,"Thrissur, Kerala","₹12,000 - ₹15,000 a month",13500.0,,Thrissur,Kerala,HR Co-ordinator
Content Writers - Part Time,"Hubli, Karnataka",Not specified,,,Hubli,Karnataka,Content Writers - Part Time
Video Editor,Remote,"₹5,000 - ₹7,000 a month",6000.0,Remote,Remote,Remote,Video Editor
Delivery Partner/Delivery Executive,"Kochi, Kerala","₹15,000 - ₹45,000 a month",30000.0,,Kochi,Kerala,Delivery Partner/Delivery Executive
Fresher Software engineer at Technopark,"Thiruvananthapuram, Kerala","₹9,000 - ₹12,000 a month",10500.0,,Thiruvananthapuram,Kerala,Fresher Software engineer at Technopark
AWS intern,Remote,Not specified,,Remote,Remote,Remote,AWS intern
Video Editing Intern,Remote,"₹4,000 - ₹5,000 a month",4500.0,Remote,Remote,Remote,Video Editing Intern
Google Ads Executive(fresher/experience),"Ambli, Ahmedabad, Gujarat","Up to ₹35,000 a month",,Ambli,Ahmedabad,Gujarat,Google Ads Executive(fresher/experience)
JET - Fresher Diploma Engineer(Mechanical/Fabrication/Production),"Surat, Gujarat","₹2,00,000 - ₹3,00,000 a year",250000.0,,Surat,Gujarat,JET - Fresher Diploma Engineer(Mechanical/Fabrication/Production)
Executive Diploma Trainee,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka,Executive Diploma Trainee
tellecaller,"Shimla, Himachal Pradesh","₹18,569 - ₹27,467 a month",23018.0,,Shimla,Himachal Pradesh,tellecaller
Supervisors/Incharges,"Pudukkottai, Tamil Nadu",Not specified,,,Pudukkottai,Tamil Nadu,Supervisors/Incharges
Junior Business Analyst,"Udumalaippettai, Tamil Nadu","Up to ₹10,000 a month",,,Udumalaippettai,Tamil Nadu,Junior Business Analyst
Computer Faculty,Remote,"From ₹10,000 a month",,Remote,Remote,Remote,Computer Faculty
Process Associate,"Bhubaneswar, Orissa","₹1,00,000 - ₹2,20,000 a year",160000.0,,Bhubaneswar,Orissa,Process Associate
Fresher IT Software Training in Infopark,"Kochi, Kerala","₹9,000 - ₹15,000 a month",12000.0,,Kochi,Kerala,Fresher IT Software Training in Infopark
Hotel Management Trainee,"Thiruvananthapuram, Kerala","₹24,000 - ₹32,000 a month",28000.0,,Thiruvananthapuram,Kerala,Hotel Management Trainee
Kyc Verification Executive Fresher,"Naraina, Delhi, Delhi",Not specified,,Naraina,Delhi,Delhi,Kyc Verification Executive Fresher
Video Editor,Remote,"₹10,000 - ₹15,000 a month",12500.0,Remote,Remote,Remote,Video Editor
Business Development Associate,"Bengaluru, Karnataka","₹4,50,000 - ₹5,00,000 a year",475000.0,,Bengaluru,Karnataka,Business Development Associate
Hindi Content Writer Intern.,Remote,"₹10,000 a month",10000.0,Remote,Remote,Remote,Hindi Content Writer Intern.
Digital Marketing Intern,Remote,"₹5,000 - ₹6,000 a month",5500.0,Remote,Remote,Remote,Digital Marketing Intern
Delivery Partner/Delivery Executive,"Mangalore, Karnataka","₹20,000 - ₹60,000 a month",40000.0,,Mangalore,Karnataka,Delivery Partner/Delivery Executive
Social Media Intern (Remote),Remote,"₹4,900 - ₹5,000 a month",4950.0,Remote,Remote,Remote,Social Media Intern (Remote)
Summer Internship Programme,"Mohali, Punjab","From ₹10,000 a month",,,Mohali,Punjab,Summer Internship Programme
Wanted female office assistants,"Gandhipuram, Coimbatore, Tamil Nadu","From ₹17,000 a month",,Gandhipuram,Coimbatore,Tamil Nadu,Wanted female office assistants
UI/UX Freshers (2024),Remote,"₹5,00,000 a year",500000.0,Remote,Remote,Remote,UI/UX Freshers (2024)
Graphic Designer Internship,Remote,"₹7,000 - ₹10,000 a month",8500.0,Remote,Remote,Remote,Graphic Designer Internship
Trainee,"Rampur, Uttar Pradesh",Not specified,,,Rampur,Uttar Pradesh,Trainee
Digital Marketing Intern/Fresher,Delhi,"Up to ₹10,000 a month",,Delhi,Delhi,Delhi,Digital Marketing Intern/Fresher
Data Entry Operators,Delhi,Not specified,,Delhi,Delhi,Delhi,Data Entry Operators
Content Creator Intern,Remote,"₹5,000 - ₹10,000 a month",7500.0,Remote,Remote,Remote,Content Creator Intern
QA/QC Trainee,"Vadodara, Gujarat",Not specified,,,Vadodara,Gujarat,QA/QC Trainee
Document verification,"Nesapakkam, Chennai, Tamil Nadu","₹15,000 a month",15000.0,Nesapakkam,Chennai,Tamil Nadu,Document verification
Digital Marketing Manager,Remote,"₹32,500 - ₹36,500 a month",34500.0,Remote,Remote,Remote,Digital Marketing Manager
Freshers - Delhi,"Delhi, Delhi","₹7,50,000 a year",750000.0,,Delhi,Delhi,Freshers - Delhi
QA Engineer Fresher,"Pune, Maharashtra","₹20,000 - ₹30,000 a month",25000.0,,Pune,Maharashtra,QA Engineer Fresher
Social Media Intern,Remote,"₹8,086.00 - ₹22,129.77 a month",15107.885,Remote,Remote,Remote,Social Media Intern
Receptionist Front Desk,"Delhi, Delhi","From ₹35,000 a month",,,Delhi,Delhi,Receptionist Front Desk
Derivatives Trader,Delhi,Not specified,,Delhi,Delhi,Delhi,Derivatives Trader
Document verification fresher apply now,"Gurugram, Haryana","₹11,109.96 - ₹32,719.16 a month",21914.56,,Gurugram,Haryana,Document verification fresher apply now
Technical Support Engineer,"Bengaluru, Karnataka","₹24,000 - ₹43,000 a month",33500.0,,Bengaluru,Karnataka,Technical Support Engineer
Freshers / Internship,"Pune, Maharashtra",Not specified,,,Pune,Maharashtra,Freshers / Internship
Shipment /Pricing/ Documentation Executive - (Freshers can apply),"Tambaram West, Chennai, Tamil Nadu",Not specified,,Tambaram West,Chennai,Tamil Nadu,Shipment /Pricing/ Documentation Executive - (Freshers can apply)
Fresher software tester internship,"Kochi, Kerala","₹10,000 - ₹15,000 a month",12500.0,,Kochi,Kerala,Fresher software tester internship
Fresher Engineer,"Pune, Maharashtra",Not specified,,,Pune,Maharashtra,Fresher Engineer
Python - Fresher,"Pune, Maharashtra",Not specified,,,Pune,Maharashtra,Python - Fresher
Graduate Student,"Kochi, Kerala","₹10,000 - ₹15,000 a month",12500.0,,Kochi,Kerala,Graduate Student
FRESHERS BOOTCAMP Job oriented Program,Remote,Not specified,,Remote,Remote,Remote,FRESHERS BOOTCAMP Job oriented Program
Project Manager,"Madurai, Tamil Nadu","₹15,000 - ₹35,000 a month",25000.0,,Madurai,Tamil Nadu,Project Manager
Cyber Security Trainee,India,"₹20,000 a month",20000.0,India,India,India,Cyber Security Trainee
SEO Intern/Trainee,Remote,Not specified,,Remote,Remote,Remote,SEO Intern/Trainee
Corporate Assistant - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka,Corporate Assistant - Freshers
Trainee Software Developer Fresher,"Vadodara, Gujarat",Not specified,,,Vadodara,Gujarat,Trainee Software Developer Fresher
TRAINEE ENGINEER- NETWORK SECURITY,"Bengaluru, Karnataka","₹4,00,000 a year",400000.0,,Bengaluru,Karnataka,TRAINEE ENGINEER- NETWORK SECURITY
IT fresher(Trainee engineer),"Bengaluru, Karnataka","₹2,50,000 - ₹3,00,000 a year",275000.0,,Bengaluru,Karnataka,IT fresher(Trainee engineer)
SEO Executive,Remote,"₹5,000 - ₹8,000 a month",6500.0,Remote,Remote,Remote,SEO Executive
Trainee - Junior Data Analyst,"Coimbatore, Tamil Nadu",Not specified,,,Coimbatore,Tamil Nadu,Trainee - Junior Data Analyst
Java Fresher,Karnataka,Not specified,,Karnataka,Karnataka,Karnataka,Java Fresher
Academic Advisor (Work from Home),"Perumbavoor, Kerala","₹12,000 - ₹25,000 a month",18500.0,,Perumbavoor,Kerala,Academic Advisor (Work from Home)
Research Analyst (Fresher),"Noida, Uttar Pradesh","₹3,50,000 a year",350000.0,,Noida,Uttar Pradesh,Research Analyst (Fresher)
Social Media Manager,Remote,"₹6,500 - ₹17,000 a month",11750.0,Remote,Remote,Remote,Social Media Manager
QA Fresher,"Ahmedabad, Gujarat","Up to ₹2,50,000 a year",,,Ahmedabad,Gujarat,QA Fresher
Google Ads Specialist,"Ahmedabad, Gujarat","₹4,00,000 - ₹7,00,000 a year",550000.0,,Ahmedabad,Gujarat,Google Ads Specialist
Alt-Text Writer - General,Remote,"₹20,000 - ₹25,000 a month",22500.0,Remote,Remote,Remote,Alt-Text Writer - General
Talent Acquisition Specialist- Freshers,Remote,Not specified,,Remote,Remote,Remote,Talent Acquisition Specialist- Freshers
Accounts Assistant,"Pollachi, Tamil Nadu","From ₹15,000 a month",,,Pollachi,Tamil Nadu,Accounts Assistant
Graduate Trainee (full Time),Goa,"₹3,25,000 - ₹4,75,000 a year",400000.0,Goa,Goa,Goa,Graduate Trainee (full Time)
Voice Process Trainee,Remote,"₹10,000 - ₹25,000 a month",17500.0,Remote,Remote,Remote,Voice Process Trainee
Quality Engineer Trainee,"Bommasandra Industrial Estate, Bengaluru, Karnataka","₹4,00,000 a year",400000.0,Bommasandra Industrial Estate,Bengaluru,Karnataka,Quality Engineer Trainee
freshers,"Aruppukkottai, Tamil Nadu","₹7,000 - ₹10,000 a month",8500.0,,Aruppukkottai,Tamil Nadu,freshers
Finance Intern,Remote,"₹10,000 - ₹20,000 a month",15000.0,Remote,Remote,Remote,Finance Intern
HR Recruiter,Remote,"₹10,000 - ₹15,000 a month",12500.0,Remote,Remote,Remote,HR Recruiter
Power BI – Fresher,"Mumbai, Maharashtra",Not specified,,,Mumbai,Maharashtra,Power BI – Fresher
Field Officer,"Kokrajhar, Assam","₹15,000 a month",15000.0,,Kokrajhar,Assam,Field Officer
HR Executive Fresher,Remote,"From ₹9,306.88 a month",,Remote,Remote,Remote,HR Executive Fresher
Jewel Data Entry,"Kavundampalayam, Coimbatore, Tamil Nadu","₹10,000 - ₹17,000 a month",13500.0,Kavundampalayam,Coimbatore,Tamil Nadu,Jewel Data Entry
Operations Co-ordinator,"Kottayam, Kerala","₹15,000 - ₹20,000 a month",17500.0,,Kottayam,Kerala,Operations Co-ordinator
Data Analyst,"Tambaram, Chennai, Tamil Nadu","₹18,000 - ₹36,000 a month",27000.0,Tambaram,Chennai,Tamil Nadu,Data Analyst
Fresher opening for Manual Testing,"Ashapur, Varanasi, Uttar Pradesh","₹10,161.00 - ₹30,193.25 a month",20177.125,Ashapur,Varanasi,Uttar Pradesh,Fresher opening for Manual Testing
Quality Analyst,"Kottivakkam, Chennai, Tamil Nadu","₹17,800 - ₹35,900 a month",26850.0,Kottivakkam,Chennai,Tamil Nadu,Quality Analyst
Production Fresher,"Chakan, Pune, Maharashtra","₹20,000 - ₹25,000 a month",22500.0,Chakan,Pune,Maharashtra,Production Fresher
GET (Graduate Engineer Trainee),"Bengaluru, Karnataka","₹1,00,000 - ₹1,20,000 a year",110000.0,,Bengaluru,Karnataka,GET (Graduate Engineer Trainee)
jewellery cad designer,Remote,"₹15,000 - ₹30,000 a month",22500.0,Remote,Remote,Remote,jewellery cad designer
IT Recruiters – Freshers,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka,IT Recruiters – Freshers
Factory Helpers / Helpers,"Bengaluru, Karnataka","₹14,700 - ₹20,650 a month",17675.0,,Bengaluru,Karnataka,Factory Helpers / Helpers
Fresher Software Developer,"Gadarwara, Madhya Pradesh",Not specified,,,Gadarwara,Madhya Pradesh,Fresher Software Developer
Project Manager,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka,Project Manager
Data Analyst,"Saidapet, Chennai, Tamil Nadu","₹17,500 - ₹30,000 a month",23750.0,Saidapet,Chennai,Tamil Nadu,Data Analyst
TEACHER,"Cannanore, Kerala","₹10,000 - ₹30,000 a month",20000.0,,Cannanore,Kerala,TEACHER
Hybrid Mobile App Developer,"Kuzhittura, Tamil Nadu","₹8,000 - ₹35,000 a month",21500.0,,Kuzhittura,Tamil Nadu,Hybrid Mobile App Developer
Fellow - GI-HPB Surgery,"Kolkata, West Bengal",Not specified,,,Kolkata,West Bengal,Fellow - GI-HPB Surgery
Digital and AI Marketing Service Executive,Remote,"₹25,000 - ₹60,000 a month",42500.0,Remote,Remote,Remote,Digital and AI Marketing Service Executive
Freshers and Experience can apply,"Patan, Gujarat","₹12,000 - ₹35,000 a month",23500.0,,Patan,Gujarat,Freshers and Experience can apply
Remote IT Talent Sourcer (Fresher),Remote,Not specified,,Remote,Remote,Remote,Remote IT Talent Sourcer (Fresher)
Freelance Contributor,Remote,"₹2,000 - ₹5,000 a month",3500.0,Remote,Remote,Remote,Freelance Contributor
Freelance Recruiter,Remote,"Up to ₹42,000 a month",,Remote,Remote,Remote,Freelance Recruiter
Customer Service Executive,"Whitefield, Bengaluru, Karnataka","₹2,50,000 - ₹3,80,000 a year",315000.0,Whitefield,Bengaluru,Karnataka,Customer Service Executive
Process Associates – BPO Non-voice,"Coimbatore, Tamil Nadu",Not specified,,,Coimbatore,Tamil Nadu,Process Associates – BPO Non-voice
Developer Trainee,"Cannanore, Kerala",Not specified,,,Cannanore,Kerala,Developer Trainee
Flutter Intern,"Padmanabhapuram, Tamil Nadu",Not specified,,,Padmanabhapuram,Tamil Nadu,Flutter Intern
Delivery Partner/Delivery Executive,"Madurai, Tamil Nadu","₹15,000 - ₹45,000 a month",30000.0,,Madurai,Tamil Nadu,Delivery Partner/Delivery Executive
Management Trainee,Remote,"₹5,00,000 - ₹8,00,000 a year",650000.0,Remote,Remote,Remote,Management Trainee
Visa submission officer - Operations,"Puducherry, Puducherry","₹19,000 - ₹20,000 a month",19500.0,,Puducherry,Puducherry,Visa submission officer - Operations
Intern/ Trainee Mobile Development,"Delhi, Delhi",Not specified,,,Delhi,Delhi,Intern/ Trainee Mobile Development
Drug Safety Associate,"Nashik, Maharashtra","₹28,086.00 - ₹40,714.29 a month",34400.145000000004,,Nashik,Maharashtra,Drug Safety Associate
MEP Supervisor,"Chennai, Tamil Nadu","₹15,000 - ₹30,000 a month",22500.0,,Chennai,Tamil Nadu,MEP Supervisor
Accounts Assistant,"Calicut, Kerala",Not specified,,,Calicut,Kerala,Accounts Assistant
Fresher Mern Stack Developer,"Kochi, Kerala","₹10,000 - ₹13,000 a month",11500.0,,Kochi,Kerala,Fresher Mern Stack Developer
Data Entry Operator/Computer Operator,"Thiruvananthapuram, Kerala","₹14,000 - ₹16,000 a month",15000.0,,Thiruvananthapuram,Kerala,Data Entry Operator/Computer Operator
Delivery Partner/Delivery Executive,"Thrissur, Kerala","₹15,000 - ₹45,000 a month",30000.0,,Thrissur,Kerala,Delivery Partner/Delivery Executive
Artificial Intelligence Researcher - Freshers,"Banaswadi, Bengaluru, Karnataka",Not specified,,Banaswadi,Bengaluru,Karnataka,Artificial Intelligence Researcher - Freshers
BCA Fresher,"Bellandur, Bengaluru, Karnataka","₹2,00,000 - ₹4,00,000 a year",300000.0,Bellandur,Bengaluru,Karnataka,BCA Fresher
TRAINEE ENGINEER,"Thiruvananthapuram, Kerala",Not specified,,,Thiruvananthapuram,Kerala,TRAINEE ENGINEER
HR Internship,"Bengaluru, Karnataka","₹5,000 - ₹10,000 a month",7500.0,,Bengaluru,Karnataka,HR Internship
Product Intern,Remote,Not specified,,Remote,Remote,Remote,Product Intern
Research Associate,"Kharadi, Pune, Maharashtra","₹20,000 - ₹40,000 a month",30000.0,Kharadi,Pune,Maharashtra,Research Associate
Jr. PHP Developer (Fresher with 3-6 months training in PHP),"Mohali, Punjab","₹10,000 - ₹25,000 a month",17500.0,,Mohali,Punjab,Jr. PHP Developer (Fresher with 3-6 months training in PHP)
Service Engineer - Fresher (ITI or Diploma or Any Degree),"Hyderabad, Telangana","₹18,000 - ₹25,000 a month",21500.0,,Hyderabad,Telangana,Service Engineer - Fresher (ITI or Diploma or Any Degree)
MBA Fresher,"Dharwad District, Karnataka","₹10,000 - ₹15,000 a month",12500.0,,Dharwad District,Karnataka,MBA Fresher
Vacancy For Fresher - Nathdwara Rajasthan,"Rajsamand, Rajasthan","₹12,000 - ₹14,000 a month",13000.0,,Rajsamand,Rajasthan,Vacancy For Fresher - Nathdwara Rajasthan
Billing Manager,"Ramanathapuram, Tamil Nadu","₹6,500 - ₹8,500 a month",7500.0,,Ramanathapuram,Tamil Nadu,Billing Manager
SALES & GODOWN WORK,"Thiruvarur, Tamil Nadu","₹15,000 - ₹25,000 a month",20000.0,,Thiruvarur,Tamil Nadu,SALES & GODOWN WORK
Business Development,Remote,"From ₹30,000 a month",,Remote,Remote,Remote,Business Development
Quality Analyst / Software Tester / Manual Tester,Delhi,Not specified,,Delhi,Delhi,Delhi,Quality Analyst / Software Tester / Manual Tester
Immediate hiring for freshers,"Coimbatore, Tamil Nadu","From ₹10,000 a month",,,Coimbatore,Tamil Nadu,Immediate hiring for freshers
HR Recruiter (IT/Non IT) Freshers,"Bengaluru, Karnataka","₹2,50,000 a year",250000.0,,Bengaluru,Karnataka,HR Recruiter (IT/Non IT) Freshers
Sales Executive- Freshers can apply,"Coimbatore, Tamil Nadu","₹15,000 - ₹20,000 a month",17500.0,,Coimbatore,Tamil Nadu,Sales Executive- Freshers can apply
Coding Freshers,India,Not specified,,India,India,India,Coding Freshers
Data Mining (Freshers from Nagpur Location Only),"Nagpur, Maharashtra","₹8,500 - ₹12,000 a month",10250.0,,Nagpur,Maharashtra,Data Mining (Freshers from Nagpur Location Only)
Power App Trainee (Freshers),"Thiruvananthapuram, Kerala","₹12,000 - ₹25,000 a month",18500.0,,Thiruvananthapuram,Kerala,Power App Trainee (Freshers)
Technical fresher,"Noida, Uttar Pradesh",Not specified,,,Noida,Uttar Pradesh,Technical fresher
Data Entry Operator Fresher,"Udyog Bhawan, Delhi, Delhi","₹16,000 - ₹20,000 a month",18000.0,Udyog Bhawan,Delhi,Delhi,Data Entry Operator Fresher
Medical Biller - DME USA,"Delhi, Delhi","₹20,000 a month",20000.0,,Delhi,Delhi,Medical Biller - DME USA
Logistics Executive,"Kochi, Kerala",Not specified,,,Kochi,Kerala,Logistics Executive
Area Executive (Agri / Milk Procurement),"Bijawar, Madhya Pradesh",Not specified,,,Bijawar,Madhya Pradesh,Area Executive (Agri / Milk Procurement)
Full Stack Development Intern,"Lucknow, Uttar Pradesh","Up to ₹3,00,000 a year",,,Lucknow,Uttar Pradesh,Full Stack Development Intern
Data Entry Operator,"Balasore, Orissa",Not specified,,,Balasore,Orissa,Data Entry Operator
